epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,67.6642,0.6634,1.16736,1.01326,0.00667,1,0.1711,0.05471,2.07616,3.67143,2.55353,0.00040341,0.00040341,0.00040341
44,69.2179,0.69158,1.15713,1.0848,0.00667,1,0.1711,0.05471,2.07616,3.67143,2.55353,0.000402372,0.000402372,0.000402372
45,70.7766,0.47371,1.16259,0.98456,0.00667,1,0.1711,0.04642,2.25449,3.63613,2.75215,0.00040084,0.00040084,0.00040084
46,72.3842,0.57245,1.1241,1.08056,0.00667,1,0.1711,0.04642,2.25449,3.63613,2.75215,0.000398813,0.000398813,0.000398813
47,73.9394,0.61625,1.16305,1.01049,0.00667,1,0.17099,0.03424,2.62788,3.53694,3.51698,0.00039629,0.00039629,0.00039629
48,75.5831,0.66233,1.10035,1.1023,0.00667,1,0.17099,0.03424,2.62788,3.53694,3.51698,0.000393273,0.000393273,0.000393273
49,77.1945,0.56356,1.0113,0.92791,0.00667,1,0.17125,0.01788,2.90609,3.58735,4.2541,0.00038976,0.00038976,0.00038976
50,78.7978,0.59418,0.99862,1.02928,0.00667,1,0.17125,0.01788,2.90609,3.58735,4.2541,0.000385752,0.000385752,0.000385752
51,80.4599,0.57031,0.98929,1.00687,0.00667,1,0.17141,0.01714,2.96311,3.65256,3.9492,0.00038125,0.00038125,0.00038125
52,82.0701,0.64851,1.12562,0.95273,0.00667,1,0.17141,0.01714,2.96311,3.65256,3.9492,0.000376253,0.000376253,0.000376253
53,83.6446,0.59981,1.22183,1.02529,0.00667,1,0.17141,0.01714,2.96311,3.65256,3.9492,0.00037076,0.00037076,0.00037076
54,85.2505,0.67363,1.02032,1.03058,0.34533,0.34533,0.25349,0.03162,2.70865,4.01636,3.06186,0.000364773,0.000364773,0.000364773
55,86.8093,0.62945,1.20973,1.00604,0.34533,0.34533,0.25349,0.03162,2.70865,4.01636,3.06186,0.00035829,0.00035829,0.00035829
56,88.3925,0.56046,0.95016,0.96518,0.34533,0.34533,0.25349,0.03162,2.70865,4.01636,3.06186,0.000351313,0.000351313,0.000351313
57,90.0086,0.66048,1.17864,1.12177,0.32886,0.32886,0.25342,0.04011,2.66732,3.69517,2.8008,0.00034384,0.00034384,0.00034384
58,91.6041,0.45052,0.98028,0.98322,0.32886,0.32886,0.25342,0.04011,2.66732,3.69517,2.8008,0.000335872,0.000335872,0.000335872
59,93.1638,0.57271,1.06774,1.01336,0.32886,0.32886,0.25342,0.04011,2.66732,3.69517,2.8008,0.00032741,0.00032741,0.00032741
60,94.7829,0.62699,1.33471,1.04458,0.4498,0.4498,0.25342,0.07611,2.65228,3.46565,2.74678,0.000318453,0.000318453,0.000318453
61,96.3293,0.63042,1.09124,1.04576,0.4498,0.4498,0.25342,0.07611,2.65228,3.46565,2.74678,0.000309,0.000309,0.000309
62,97.9244,0.43029,1.06989,0.98802,0.4498,0.4498,0.25342,0.07611,2.65228,3.46565,2.74678,0.000299053,0.000299053,0.000299053
63,99.4877,0.68727,1.02436,1.0004,0.00667,1,0.25331,0.0772,2.68133,3.38767,2.68396,0.00028861,0.00028861,0.00028861
64,101.08,0.55457,1.19564,0.9618,0.00667,1,0.25331,0.0772,2.68133,3.38767,2.68396,0.000277673,0.000277673,0.000277673
65,102.654,0.46199,0.97359,0.94085,0.00667,1,0.25331,0.0772,2.68133,3.38767,2.68396,0.00026624,0.00026624,0.00026624
66,104.237,0.53901,0.92393,0.97009,0.00667,1,0.50071,0.15072,2.56898,3.26275,2.74809,0.000254313,0.000254313,0.000254313
67,105.789,0.66472,1.10208,1.05669,0.00667,1,0.50071,0.15072,2.56898,3.26275,2.74809,0.00024189,0.00024189,0.00024189
68,107.398,0.56641,1.0546,1.04126,0.00667,1,0.50071,0.15072,2.56898,3.26275,2.74809,0.000228972,0.000228972,0.000228972
69,108.947,0.48715,0.99084,0.97451,0.00667,1,0.50075,0.19981,2.43657,3.30976,2.51727,0.00021556,0.00021556,0.00021556
70,110.514,0.52369,0.94024,0.97724,0.00667,1,0.50075,0.19981,2.43657,3.30976,2.51727,0.000201652,0.000201652,0.000201652
71,112.12,0.50067,1.42793,0.99387,0.00667,1,0.50075,0.19981,2.43657,3.30976,2.51727,0.00018725,0.00018725,0.00018725
72,113.736,0.4524,1.29164,0.87744,0.00667,1,0.5019,0.24974,2.3145,3.1982,2.4359,0.000172353,0.000172353,0.000172353
73,115.317,0.3929,1.33889,0.92359,0.00667,1,0.5019,0.24974,2.3145,3.1982,2.4359,0.00015696,0.00015696,0.00015696
74,116.895,0.51611,1.58326,0.97233,0.00667,1,0.5019,0.24974,2.3145,3.1982,2.4359,0.000141073,0.000141073,0.000141073
75,118.501,0.44909,1.29677,0.95432,0.00667,1,0.26049,0.10307,2.26484,3.22084,2.32862,0.00012469,0.00012469,0.00012469
76,120.042,0.4477,1.28907,0.91865,0.00667,1,0.26049,0.10307,2.26484,3.22084,2.32862,0.000107812,0.000107812,0.000107812
77,121.666,0.39395,1.27222,0.83239,0.00667,1,0.26049,0.10307,2.26484,3.22084,2.32862,9.044e-05,9.044e-05,9.044e-05
78,123.247,0.42528,1.3061,0.8659,0.00667,1,0.53667,0.21067,2.27322,3.10147,2.33474,7.25725e-05,7.25725e-05,7.25725e-05
79,124.818,0.35661,1.26919,0.87795,0.00667,1,0.53667,0.21067,2.27322,3.10147,2.33474,5.421e-05,5.421e-05,5.421e-05
80,126.387,0.54531,1.39877,1.0647,0.00667,1,0.53667,0.21067,2.27322,3.10147,2.33474,3.53525e-05,3.53525e-05,3.53525e-05
