epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7326.81,0.65918,0.41228,1.24524,1,0.95258,0.98342,0.81174,0.71859,0.40646,1.40975,0.0011882,0.0011882,0.0011882
43,7496.79,0.62761,0.3835,1.2092,0.97442,0.92424,0.9758,0.75579,0.81561,0.52174,1.56785,0.0011684,0.0011684,0.0011684
44,7671.3,0.64112,0.38921,1.22904,0.9984,0.95455,0.98415,0.81893,0.69977,0.37501,1.4394,0.0011486,0.0011486,0.0011486
45,7853.86,0.65165,0.39575,1.23071,0.99383,0.95455,0.98516,0.81493,0.72273,0.41903,1.42854,0.0011288,0.0011288,0.0011288
46,8034.7,0.62503,0.38561,1.21026,0.98033,0.95455,0.98399,0.8135,0.72514,0.46312,1.45353,0.001109,0.001109,0.001109
47,8216.29,0.65746,0.39256,1.22903,0.93934,0.95455,0.97944,0.80726,0.72458,0.43765,1.42388,0.0010892,0.0010892,0.0010892
48,8400.83,0.6266,0.36808,1.20846,0.9836,0.9697,0.98574,0.83675,0.68277,0.36686,1.36665,0.0010694,0.0010694,0.0010694
49,8583.47,0.61833,0.37867,1.21344,0.98427,0.9697,0.98483,0.83324,0.65984,0.38187,1.33833,0.0010496,0.0010496,0.0010496
50,8755.27,0.6275,0.37921,1.20695,0.97011,0.98342,0.98549,0.78468,0.74144,0.42087,1.50686,0.0010298,0.0010298,0.0010298
51,8936.77,0.61143,0.36186,1.20635,0.95392,0.92424,0.97645,0.73632,0.93057,0.68686,1.71356,0.00101,0.00101,0.00101
52,9118.93,0.62086,0.35935,1.20843,0.97009,0.98278,0.98496,0.82501,0.68606,0.42493,1.40371,0.0009902,0.0009902,0.0009902
53,9306.82,0.59881,0.3639,1.17944,1,0.98324,0.98835,0.8469,0.62046,0.36202,1.30029,0.0009704,0.0009704,0.0009704
54,9478.3,0.58569,0.34927,1.19363,0.95566,0.97984,0.98423,0.82668,0.67795,0.36284,1.35826,0.0009506,0.0009506,0.0009506
55,9650.08,0.58775,0.34756,1.1889,0.99972,0.98485,0.98718,0.8383,0.68567,0.31842,1.35472,0.0009308,0.0009308,0.0009308
56,9821.53,0.59034,0.34927,1.17367,0.99921,0.9697,0.97208,0.83699,0.63552,0.39142,1.32747,0.000911,0.000911,0.000911
57,9992.93,0.57589,0.34674,1.17232,1,0.96547,0.9859,0.80658,0.71372,0.4211,1.42179,0.0008912,0.0008912,0.0008912
58,10165.3,0.57964,0.33955,1.17219,0.99924,0.9697,0.98514,0.81562,0.66806,0.3409,1.38866,0.0008714,0.0008714,0.0008714
59,10335.4,0.57882,0.34827,1.1698,1,0.96766,0.98607,0.8194,0.68292,0.35295,1.41114,0.0008516,0.0008516,0.0008516
60,10503.8,0.5637,0.32743,1.16143,0.99915,0.9697,0.98702,0.8469,0.63295,0.32558,1.33499,0.0008318,0.0008318,0.0008318
61,10673.7,0.57357,0.33977,1.17841,1,0.98377,0.98701,0.84901,0.62292,0.35732,1.34848,0.000812,0.000812,0.000812
62,10843.5,0.56621,0.33986,1.1678,0.93961,0.9697,0.98182,0.83205,0.66533,0.39843,1.38229,0.0007922,0.0007922,0.0007922
63,11014.8,0.58285,0.34544,1.17272,0.99018,0.9697,0.98636,0.83235,0.67954,0.35931,1.36091,0.0007724,0.0007724,0.0007724
64,11184,0.55841,0.33067,1.15448,0.99815,0.9697,0.98745,0.83654,0.67133,0.3544,1.35618,0.0007526,0.0007526,0.0007526
65,11350.5,0.54197,0.32509,1.14838,1,0.98404,0.98736,0.85435,0.62898,0.33361,1.32549,0.0007328,0.0007328,0.0007328
66,11518.2,0.55724,0.32887,1.16583,1,0.96966,0.98642,0.8182,0.67618,0.35794,1.42486,0.000713,0.000713,0.000713
67,11689.6,0.53815,0.32238,1.14669,0.99819,0.9697,0.98695,0.83569,0.64238,0.31556,1.36492,0.0006932,0.0006932,0.0006932
68,11857.3,0.53331,0.3205,1.14637,1,0.98435,0.98766,0.82698,0.67602,0.34696,1.40151,0.0006734,0.0006734,0.0006734
69,12027,0.53514,0.32393,1.13947,1,0.98381,0.98678,0.82691,0.70676,0.34323,1.42937,0.0006536,0.0006536,0.0006536
70,12198,0.5337,0.32626,1.1439,1,0.98405,0.9872,0.85001,0.63011,0.32186,1.35986,0.0006338,0.0006338,0.0006338
71,12368.8,0.53732,0.32182,1.14931,0.98483,0.98372,0.98629,0.79232,0.74619,0.40893,1.52655,0.000614,0.000614,0.000614
72,12538.6,0.52525,0.31783,1.12596,1,0.98408,0.98715,0.82147,0.67484,0.36623,1.42605,0.0005942,0.0005942,0.0005942
73,12708.8,0.53018,0.30704,1.13765,1,0.98409,0.98708,0.85172,0.61842,0.31237,1.32267,0.0005744,0.0005744,0.0005744
74,12881.2,0.53278,0.31727,1.14494,0.99959,0.98485,0.9862,0.80509,0.68818,0.34606,1.45033,0.0005546,0.0005546,0.0005546
75,13049.6,0.4965,0.29663,1.11208,1,0.98398,0.98823,0.84744,0.62417,0.32068,1.34046,0.0005348,0.0005348,0.0005348
76,13217.5,0.50027,0.29321,1.1188,1,0.98345,0.98782,0.8427,0.61835,0.32259,1.316,0.000515,0.000515,0.000515
77,13385.8,0.51153,0.30447,1.12967,1,0.98422,0.98755,0.8398,0.62072,0.3189,1.36888,0.0004952,0.0004952,0.0004952
78,13556,0.48862,0.29528,1.1094,1,0.98376,0.98861,0.84407,0.6475,0.33258,1.39652,0.0004754,0.0004754,0.0004754
79,13726.2,0.50205,0.30671,1.11956,1,0.98409,0.98748,0.83545,0.65355,0.33298,1.39771,0.0004556,0.0004556,0.0004556
80,13894.7,0.48654,0.29586,1.12207,1,0.98415,0.98773,0.85464,0.60551,0.29662,1.31438,0.0004358,0.0004358,0.0004358
81,14064.4,0.48783,0.29268,1.10697,1,0.98395,0.98723,0.83857,0.63504,0.31498,1.42626,0.000416,0.000416,0.000416
82,14233.6,0.49229,0.29727,1.11403,1,0.98406,0.98773,0.84823,0.64256,0.3327,1.3732,0.0003962,0.0003962,0.0003962
83,14400.1,0.48195,0.28538,1.11097,1,0.98398,0.98754,0.82498,0.65077,0.33517,1.4103,0.0003764,0.0003764,0.0003764
84,14567.6,0.48599,0.28852,1.10876,1,0.98403,0.98775,0.83906,0.64084,0.31661,1.39405,0.0003566,0.0003566,0.0003566
85,14735.7,0.48214,0.28866,1.10679,1,0.98376,0.98827,0.8459,0.61493,0.30837,1.34743,0.0003368,0.0003368,0.0003368
86,14903.1,0.48095,0.29902,1.11566,1,0.98401,0.98886,0.83931,0.6264,0.31418,1.38417,0.000317,0.000317,0.000317
87,15071.1,0.46919,0.27956,1.097,1,0.98383,0.98861,0.82563,0.67184,0.33014,1.45533,0.0002972,0.0002972,0.0002972
88,15240.4,0.48509,0.29121,1.10996,1,0.98365,0.9887,0.84517,0.61467,0.31383,1.37522,0.0002774,0.0002774,0.0002774
89,15410,0.46367,0.27601,1.09096,1,0.98332,0.98867,0.84476,0.62178,0.30961,1.39169,0.0002576,0.0002576,0.0002576
90,15581.3,0.46219,0.27527,1.09547,1,0.98398,0.98901,0.85404,0.62269,0.30514,1.39157,0.0002378,0.0002378,0.0002378
91,15751.9,0.2978,0.22786,1.03612,0.99897,0.9697,0.98704,0.8476,0.60514,0.29643,1.35785,0.000218,0.000218,0.000218
92,15923.5,0.28089,0.17785,1.01391,1,0.98391,0.98685,0.85776,0.59122,0.29508,1.3109,0.0001982,0.0001982,0.0001982
93,16091.2,0.26703,0.17469,1.00759,1,0.98426,0.98689,0.83587,0.61749,0.29047,1.35287,0.0001784,0.0001784,0.0001784
94,16261.6,0.25769,0.16881,1.00514,1,0.98412,0.98701,0.84721,0.61126,0.30457,1.3775,0.0001586,0.0001586,0.0001586
95,16431.3,0.25468,0.16017,1.00342,1,0.984,0.98734,0.84787,0.60773,0.30062,1.38069,0.0001388,0.0001388,0.0001388
96,16599,0.24305,0.1563,0.97803,1,0.98415,0.9877,0.85092,0.57897,0.28814,1.33588,0.000119,0.000119,0.000119
97,16767.3,0.24857,0.15453,0.99479,1,0.98456,0.98763,0.85553,0.58318,0.28319,1.34737,9.92e-05,9.92e-05,9.92e-05
98,16938.6,0.25168,0.15622,0.99118,1,0.98482,0.98782,0.8534,0.59555,0.28757,1.36893,7.94e-05,7.94e-05,7.94e-05
99,17105.5,0.23993,0.15505,1.00029,1,0.98425,0.98794,0.85387,0.59304,0.27894,1.35753,5.96e-05,5.96e-05,5.96e-05
100,17275.4,0.24141,0.15547,0.99631,1,0.9842,0.98786,0.85469,0.59065,0.27885,1.34746,3.98e-05,3.98e-05,3.98e-05
